github.com/AlDanial/cloc v 2.04  T=0.03 s (2437.2 files/s, 464151.9 lines/s)
--------------------------------------------------------------------------------------
File                                    blank        comment           code
--------------------------------------------------------------------------------------
./c/compiler.c                            408             20           2068
./c/vm.c                                  284             52           1879
./c/libs/lib_http.c                       169             17            898
./c/object.c                              203              7            799
./c/types/type_array.c                    196              7            773
./c/lexer.c                                71              3            513
./c/ilex.h                                 80             12            354
./c/libs/lib_io.c                          82              6            323
./c/memory.c                               34              3            298
./c/libs/lib_math.c                        84             12            272
./c/types/type_string.c                    63              8            269
./c/types/type_file.c                      77              5            260
./c/libs/lib_toml.c                        71              3            258
./c/types/type_map.c                       60              3            221
./c/value.c                                41             12            190
./c/debug.c                                22              4            187
./c/libs/lib_env.c                         53              3            184
./c/libs/lib_window.c                      45              4            184
./c/table.c                                32              3            171
./c/libs/lib_json.c                        38              3            170
./c/libs/lib_sys.c                         37              3            150
./c/libs/lib_ilex.c                        43              5            149
./c/util.c                                 29              3            141
./c/libs/lib_base64.c                      33              3            134
./c/libs/lib_random.c                      37              3            126
./c/lexer.h                                12              8            112
./c/chunk.h                                 5              3            100
./c/libs/lib_ascii.c                       28              3             83
./c/libs/lib_natives.c                     19              3             77
./c/vm.h                                   20              4             75
./c/types/type_set.c                       19              3             72
./c/compiler.h                             11              3             58
./c/libs/lib_builtIn.c                      9              3             42
./c/object.h                                5              3             42
./c/main.c                                  6              4             37
./c/chunk.c                                 8              3             34
./c/libs/lib_test.c                        11              3             31
./c/libs/lib_builtIn.h                      5              3             22
./c/types/type_enum.c                       8              3             21
./c/libs/lib_web.c                          8              3             19
./c/table.h                                 7              3             18
./c/memory.h                               11              3             17
./c/value.h                                 8              3             16
./c/tst/test.toml                           3              0             15
./c/util.h                                  6              3             15
./c/libs/lib_http.h                         5              3             14
./Makefile                                  1              0             11
./c/types/base_types.c                      5              3             11
./README.md                                 6              0              8
./c/libs/lib_json.h                         4              3              7
./c/libs/lib_toml.h                         6              3              7
./c/debug.h                                 4              3              6
./c/libs/lib_ascii.h                        4              3              5
./c/libs/lib_base64.h                       4              3              5
./c/libs/lib_env.h                          4              3              5
./c/libs/lib_ilex.h                         4              3              5
./c/libs/lib_io.h                           4              3              5
./c/libs/lib_math.h                         4              3              5
./c/libs/lib_natives.h                      4              3              5
./c/libs/lib_random.h                       4              3              5
./c/libs/lib_sys.h                          4              3              5
./c/libs/lib_test.h                         4              3              5
./c/libs/lib_time.h                         4              3              5
./c/libs/lib_web.h                          4              3              5
./c/libs/lib_window.h                       4              3              5
./c/types/base_types.h                      4              3              5
./c/types/type_array.h                      4              3              5
./c/types/type_enum.h                       4              3              5
./c/types/type_file.h                       4              3              5
./c/types/type_map.h                        4              3              5
./c/types/type_set.h                        4              3              5
./c/types/type_string.h                     4              3              5
./c/types/type_web_app.h                    4              3              5
./c/types/type_window.h                     4              3              5
./c/types/type_window.c                     3              4              4
./build.sh                                  0              0              3
./c/libs/lib_time.c                         3              3              1
./install.sh                                0              0              1
./c/types/type_web_app.c                    0              3              0
--------------------------------------------------------------------------------------
SUM:                                     2626            359          12060
--------------------------------------------------------------------------------------
